,age,annual_income,spending_score,female,male,customer_type
69,32,48,47,1,0,0
70,70,49,55,0,1,0
71,47,49,42,1,0,0
72,60,50,49,1,0,0
73,60,50,56,1,0,0
74,59,54,47,0,1,0
75,26,54,54,0,1,0
76,45,54,53,1,0,0
77,40,54,48,0,1,0
78,23,54,52,1,0,0
79,49,54,42,1,0,0
80,57,54,51,0,1,0
81,38,54,55,0,1,0
82,67,54,41,0,1,0
83,46,54,44,1,0,0
84,21,54,57,1,0,0
85,48,54,46,0,1,0
86,55,57,58,1,0,0
87,22,57,55,1,0,0
88,34,58,60,1,0,0
89,50,58,46,1,0,0
90,68,59,55,1,0,0
91,18,59,41,0,1,0
92,48,60,49,0,1,0
93,40,60,40,1,0,0
94,32,60,42,1,0,0
95,24,60,52,0,1,0
96,47,60,47,1,0,0
97,27,60,50,1,0,0
98,48,61,42,0,1,0
99,20,61,49,0,1,0
100,23,62,41,1,0,0
101,49,62,48,1,0,0
102,67,62,59,0,1,0
103,26,62,55,0,1,0
104,49,62,56,0,1,0
105,21,62,42,1,0,0
106,66,63,50,1,0,0
107,54,63,46,0,1,0
108,68,63,43,0,1,0
109,66,63,48,0,1,0
110,65,63,52,0,1,0
111,19,63,54,1,0,0
112,38,64,42,1,0,0
113,19,64,46,0,1,0
114,18,65,48,1,0,0
115,19,65,50,1,0,0
116,63,65,43,1,0,0
117,49,65,59,1,0,0
118,51,67,43,1,0,0
119,50,67,57,1,0,0
120,27,67,56,0,1,0
121,38,67,40,1,0,0
122,40,69,58,1,0,0
123,39,69,91,0,1,3
124,23,70,29,1,0,2
125,31,70,77,1,0,3
126,43,71,35,0,1,0
127,40,71,95,0,1,3
128,59,71,11,0,1,2
129,38,71,75,0,1,3
130,47,71,9,0,1,2
131,39,71,75,0,1,3
132,25,72,34,1,0,2
133,31,72,71,1,0,3
134,20,73,5,0,1,2
135,29,73,88,1,0,3
136,44,73,7,1,0,2
137,32,73,73,0,1,3
138,19,74,10,0,1,2
139,35,74,72,1,0,3
140,57,75,5,1,0,2
141,32,75,93,0,1,3
142,28,76,40,1,0,0
143,32,76,87,1,0,3
144,25,77,12,0,1,2
145,28,77,97,0,1,3
146,48,77,36,0,1,2
147,32,77,74,1,0,3
148,34,78,22,1,0,2
149,34,78,90,0,1,3
150,43,78,17,0,1,2
151,39,78,88,0,1,3
152,44,78,20,1,0,2
153,38,78,76,1,0,3
154,47,78,16,1,0,2
155,27,78,89,1,0,3
156,37,78,1,0,1,2
157,30,78,78,1,0,3
158,34,78,1,0,1,2
159,30,78,73,1,0,3
160,56,79,35,1,0,2
161,29,79,83,1,0,3
162,19,81,5,0,1,2
163,31,81,93,1,0,3
164,50,85,26,0,1,2
165,36,85,75,1,0,3
166,42,86,20,0,1,2
167,33,86,95,1,0,3
168,36,87,27,1,0,2
169,32,87,63,0,1,3
170,40,87,13,0,1,2
171,28,87,75,0,1,3
172,36,87,10,0,1,2
173,36,87,92,0,1,3
174,52,88,13,1,0,2
175,30,88,86,1,0,3
176,58,88,15,0,1,2
177,27,88,69,0,1,3
178,59,93,14,0,1,2
179,35,93,90,0,1,3
180,37,97,32,1,0,2
181,32,97,86,1,0,3
182,46,98,15,0,1,2
183,29,98,88,1,0,3
184,41,99,39,1,0,2
185,30,99,97,0,1,3
186,54,101,24,1,0,2
187,28,101,68,0,1,3
188,41,103,17,1,0,2
189,36,103,85,1,0,3
190,34,103,23,1,0,2
191,32,103,69,1,0,3
192,33,113,8,0,1,2
193,38,113,91,1,0,3
194,47,120,16,1,0,2
195,35,120,79,1,0,3
196,45,126,28,1,0,2
197,32,126,74,0,1,3
198,32,137,18,0,1,2
199,30,137,83,0,1,3
